Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b01,-2.5742,0.1484,2938,-17.35,<.0001,0.05,-2.8652,-2.2832,-0.00429
b02,-1.6898,0.1179,2938,-14.33,<.0001,0.05,-1.9210,-1.4586,0.00752
b11,-0.2148,0.1427,2938,-1.51,0.1322,0.05,-0.4946,0.06491,-0.00492
b12,-0.3084,0.1364,2938,-2.26,0.0238,0.05,-0.5758,-0.04099,0.004742
b21,0.1955,0.07316,2938,2.67,0.0076,0.05,0.05207,0.3390,0.007056
b22,0.02553,0.06815,2938,0.37,0.7080,0.05,-0.1081,0.1591,0.007986
b31,-0.1698,0.06689,2938,-2.54,0.0112,0.05,-0.3009,-0.03861,0.011067
b32,-0.1368,0.06446,2938,-2.12,0.0339,0.05,-0.2632,-0.01044,-0.0077
b41,1.1445,0.1271,2938,9.00,<.0001,0.05,0.8952,1.3937,-0.0076
b42,1.2206,0.09781,2938,12.48,<.0001,0.05,1.0288,1.4124,0.002378
b51,-0.4740,0.08742,2938,-5.42,<.0001,0.05,-0.6454,-0.3026,0.004781
b52,-0.1001,0.08035,2938,-1.25,0.2128,0.05,-0.2577,0.05741,-0.00113
phi1,-0.00777,0.1271,2938,-0.06,0.9512,0.05,-0.2569,0.2414,0.004933
phi2,-0.7440,0.2389,2938,-3.11,0.0019,0.05,-1.2126,-0.2755,-0.00374
