Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b01,-2.2026,0.1312,2938,-16.79,<.0001,0.05,-2.4597,-1.9454,-0.00004
b02,-1.5128,0.1045,2938,-14.48,<.0001,0.05,-1.7177,-1.3079,-0.00014
b11,-0.1781,0.1400,2938,-1.27,0.2034,0.05,-0.4526,0.09642,-0.00015
b12,-0.2627,0.1193,2938,-2.20,0.0277,0.05,-0.4967,-0.02878,-0.00017
b21,0.1955,0.07227,2938,2.71,0.0069,0.05,0.05381,0.3372,0.000183
b22,0.05709,0.05993,2938,0.95,0.3409,0.05,-0.06043,0.1746,-0.00012
b31,-0.1510,0.06603,2938,-2.29,0.0223,0.05,-0.2805,-0.02155,0.00045
b32,-0.1262,0.05619,2938,-2.25,0.0248,0.05,-0.2364,-0.01605,-0.00007
b41,1.0270,0.1015,2938,10.12,<.0001,0.05,0.8279,1.2260,-0.00017
b42,1.1570,0.08566,2938,13.51,<.0001,0.05,0.9890,1.3249,-0.00004
b51,-0.4615,0.08510,2938,-5.42,<.0001,0.05,-0.6283,-0.2946,0.000071
b52,-0.1475,0.07042,2938,-2.09,0.0363,0.05,-0.2856,-0.00940,-0.00002
