Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b01,-2.5481,0.1672,2938,-15.24,<.0001,0.05,-2.8759,-2.2204,0.017525
b02,-1.6865,0.1183,2938,-14.25,<.0001,0.05,-1.9185,-1.4545,0.020575
b03,2.1898,0.2741,2938,7.99,<.0001,0.05,1.6522,2.7273,0.007685
b11,-0.2463,0.1800,2938,-1.37,0.1712,0.05,-0.5992,0.1066,0.002532
b12,-0.3132,0.1372,2938,-2.28,0.0225,0.05,-0.5822,-0.04417,0.019253
b13,0.3045,0.2808,2938,1.08,0.2784,0.05,-0.2462,0.8551,0.004581
b21,0.1806,0.09288,2938,1.94,0.0520,0.05,-0.00156,0.3627,-0.00607
b22,0.02317,0.06859,2938,0.34,0.7356,0.05,-0.1113,0.1577,-0.04412
b23,0.01485,0.1451,2938,0.10,0.9185,0.05,-0.2697,0.2994,-0.01333
b31,-0.1836,0.08521,2938,-2.15,0.0313,0.05,-0.3507,-0.01651,0.002297
b32,-0.1391,0.06495,2938,-2.14,0.0323,0.05,-0.2664,-0.01173,-0.05051
b33,0.1355,0.1327,2938,1.02,0.3072,0.05,-0.1246,0.3956,-0.01358
b41,1.1349,0.1332,2938,8.52,<.0001,0.05,0.8738,1.3960,0.004135
b42,1.2194,0.09807,2938,12.43,<.0001,0.05,1.0271,1.4117,0.012896
b43,-0.8945,0.2112,2938,-4.24,<.0001,0.05,-1.3086,-0.4805,0.001774
b51,-0.4700,0.1097,2938,-4.28,<.0001,0.05,-0.6851,-0.2549,-0.01163
b52,-0.09927,0.08101,2938,-1.23,0.2205,0.05,-0.2581,0.05957,0.002934
b53,0.06837,0.1694,2938,0.40,0.6866,0.05,-0.2638,0.4006,-0.0129
