Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b01,-2.2104,0.1311,2938,-16.86,<.0001,0.05,-2.4676,-1.9533,-0.0009
b02,-1.5061,0.1034,2938,-14.56,<.0001,0.05,-1.7089,-1.3033,0.000151
b11,-0.1696,0.1393,2938,-1.22,0.2235,0.05,-0.4428,0.1036,-0.00077
b12,-0.2626,0.1166,2938,-2.25,0.0244,0.05,-0.4912,-0.03392,0.001422
b21,0.1964,0.07212,2938,2.72,0.0065,0.05,0.05498,0.3378,-0.00062
b22,0.04702,0.05853,2938,0.80,0.4218,0.05,-0.06774,0.1618,-0.00044
b31,-0.1459,0.06523,2938,-2.24,0.0254,0.05,-0.2738,-0.01801,-0.00104
b32,-0.1246,0.05546,2938,-2.25,0.0248,0.05,-0.2333,-0.01583,-0.00012
b41,1.0288,0.1020,2938,10.09,<.0001,0.05,0.8288,1.2287,-0.00032
b42,1.1350,0.08471,2938,13.40,<.0001,0.05,0.9689,1.3011,0.000548
b51,-0.4459,0.08474,2938,-5.26,<.0001,0.05,-0.6120,-0.2797,0.000766
b52,-0.1387,0.06968,2938,-1.99,0.0467,0.05,-0.2753,-0.00202,0.000194
phi1,-0.2086,0.2173,2938,-0.96,0.3371,0.05,-0.6348,0.2175,-0.00092
phi2,-0.4555,0.3272,2938,-1.39,0.1640,0.05,-1.0970,0.1861,-0.00088
