"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
1,"b03",2.2996,0.5325,500,4.32,"<.0001",0.05,1.2535,3.3458
1,"b13",-0.1013,0.3422,500,-0.3,"0.7673",0.05,-0.7736,0.571
1,"b23",-0.3511,0.2006,500,-1.75,"0.0806",0.05,-0.7451,0.04294
1,"b33",0.1561,0.1589,500,0.98,"0.3264",0.05,-0.1561,0.4684
1,"b43",-0.9118,0.3199,500,-2.85,"0.0045",0.05,-1.5402,-0.2833
1,"b53",0.6334,0.3425,500,1.85,"0.0650",0.05,-0.03953,1.3064
2,"b03",2.0043,0.4446,500,4.51,"<.0001",0.05,1.1309,2.8778
2,"b13",0.176,0.1933,500,0.91,"0.3631",0.05,-0.2038,0.5557
2,"b23",-0.1205,0.159,500,-0.76,"0.4490",0.05,-0.4329,0.1919
2,"b33",0.1618,0.1563,500,1.03,"0.3013",0.05,-0.1454,0.4689
2,"b43",-0.9017,0.2615,500,-3.45,"0.0006",0.05,-1.4155,-0.3879
2,"b53",0.1266,0.09948,500,1.27,"0.2039",0.05,-0.06889,0.322
3,"b03",1.9967,0.4463,500,4.47,"<.0001",0.05,1.1199,2.8735
3,"b13",0.1197,0.2736,500,0.44,"0.6621",0.05,-0.418,0.6573
3,"b23",0.1638,0.1721,500,0.95,"0.3417",0.05,-0.1743,0.5019
3,"b33",0.2593,0.1561,500,1.66,"0.0972",0.05,-0.0473,0.566
3,"b43",-1.1164,0.3026,500,-3.69,"0.0002",0.05,-1.7109,-0.5219
3,"b53",-0.09207,0.1852,500,-0.5,"0.6193",0.05,-0.4559,0.2717
4,"b03",1.907,0.7337,500,2.6,0.0096,0.05,0.4655,3.3484
4,"b13",-0.1068,0.4737,500,-0.23,0.8218,0.05,-1.0375,0.824
4,"b23",-0.4563,0.2682,500,-1.7,0.0895,0.05,-0.9832,0.07057
4,"b33",-0.07452,0.2334,500,-0.32,0.7496,0.05,-0.5331,0.384
4,"b43",-1.1811,0.5059,500,-2.33,0.02,0.05,-2.1751,-0.1871
4,"b53",0.7819,0.3221,500,2.43,0.0155,0.05,0.1491,1.4146
5,"b03",2.1137,0.5144,500,4.11,"<.0001",0.05,1.1031,3.1244
5,"b13",0.4242,0.4228,500,1,"0.3162",0.05,-0.4065,1.2548
5,"b23",0.08355,0.1757,500,0.48,"0.6346",0.05,-0.2616,0.4287
5,"b33",0.4341,0.237,500,1.83,"0.0676",0.05,-0.03158,0.8997
5,"b43",-1.1176,0.3976,500,-2.81,"0.0051",0.05,-1.8987,-0.3364
5,"b53",-0.07048,0.2039,500,-0.35,"0.7297",0.05,-0.4711,0.3301
6,"b03",1.286,0.5661,500,2.27,0.0235,0.05,0.1737,2.3983
6,"b13",0.4525,0.4389,500,1.03,0.303,0.05,-0.4097,1.3148
6,"b23",-0.03909,0.1226,500,-0.32,0.75,0.05,-0.2799,0.2018
6,"b33",0.2439,0.1706,500,1.43,0.1534,0.05,-0.09125,0.5791
6,"b43",-0.964,0.383,500,-2.52,0.0121,0.05,-1.7164,-0.2115
6,"b53",0.1576,0.1506,500,1.05,0.2958,0.05,-0.1383,0.4535
7,"b03",1.9007,0.4838,500,3.93,"<.0001",0.05,0.9501,2.8513
7,"b13",0.1132,0.3386,500,0.33,"0.7383",0.05,-0.552,0.7784
7,"b23",-0.03055,0.09234,500,-0.33,"0.7409",0.05,-0.212,0.1509
