"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
1,"b01",-2.2302,0.3136,500,-7.11,"<.0001",0.05,-2.8463,-1.6141,1.1e-05
1,"b02",-1.1025,0.2184,500,-5.05,"<.0001",0.05,-1.5315,-0.6735,0.000198
1,"b11",-0.02233,0.32,500,-0.07,"0.9444",0.05,-0.651,0.6064,-9.95e-06
1,"b12",-0.4409,0.2634,500,-1.67,"0.0948",0.05,-0.9585,0.07658,0.000217
1,"b21",0.3336,0.1512,500,2.21,"0.0278",0.05,0.03651,0.6306,3.2e-05
1,"b22",0.05108,0.1287,500,0.4,"0.6915",0.05,-0.2017,0.3039,-6e-05
1,"b31",-0.165,0.1403,500,-1.18,"0.2402",0.05,-0.4406,0.1107,-4.46e-06
1,"b32",-0.08663,0.1227,500,-0.71,"0.4804",0.05,-0.3276,0.1544,-7e-05
1,"b41",1.092,0.1802,500,6.06,"<.0001",0.05,0.7379,1.446,-2e-05
1,"b42",0.9999,0.1501,500,6.66,"<.0001",0.05,0.705,1.2947,4.91e-06
1,"b51",-0.5754,0.1505,500,-3.82,"0.0001",0.05,-0.871,-0.2798,-7e-05
1,"b52",0.009397,0.1263,500,0.07,"0.9407",0.05,-0.2388,0.2576,-7e-05
1,"phi1",-1.0962,0.5885,500,-1.86,"0.0631",0.05,-2.2525,0.06008,3e-05
1,"phi2",0.2853,0.4235,500,0.67,"0.5008",0.05,-0.5467,1.1173,2.1e-05
2,"b01",-1.9081,0.2803,500,-6.81,"<.0001",0.05,-2.4588,-1.3573,-9e-05
2,"b02",-1.4697,0.2416,500,-6.08,"<.0001",0.05,-1.9444,-0.9951,-0.00024
2,"b11",-0.2083,0.3234,500,-0.64,"0.5198",0.05,-0.8438,0.4271,-8e-05
2,"b12",-0.2181,0.2793,500,-0.78,"0.4352",0.05,-0.7667,0.3306,-0.00016
2,"b21",0.353,0.1622,500,2.18,"0.0300",0.05,0.0344,0.6716,-0.00037
2,"b22",0.001915,0.1348,500,0.01,"0.9887",0.05,-0.263,0.2668,0.000116
2,"b31",-0.05986,0.1562,500,-0.38,"0.7018",0.05,-0.3668,0.2471,-7.74e-06
2,"b32",-0.2928,0.1367,500,-2.14,"0.0327",0.05,-0.5613,-0.02424,-4e-05
2,"b41",1.0696,0.1763,500,6.07,"<.0001",0.05,0.7232,1.4159,0.000287
2,"b42",1.1162,0.161,500,6.93,"<.0001",0.05,0.7998,1.4326,-3e-04
2,"b51",-0.1834,0.1594,500,-1.15,"0.2505",0.05,-0.4965,0.1298,-0.00018
2,"b52",-0.1334,0.1428,500,-0.93,"0.3508",0.05,-0.4139,0.1472,-2e-04
2,"phi1",-0.3386,0.3868,500,-0.88,"0.3817",0.05,-1.0986,0.4213,-0.00035
2,"phi2",-0.4833,0.5186,500,-0.93,"0.3518",0.05,-1.5023,0.5356,-0.00025
3,"b01",-2.087,0.2961,500,-7.05,"<.0001",0.05,-2.6688,-1.5052,7.7e-05
3,"b02",-1.6569,0.2435,500,-6.8,"<.0001",0.05,-2.1353,-1.1784,-0.00036
