"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
1,"b03",2.0596,0.5042,500,4.08,"<.0001",0.05,1.0689,3.0503
1,"b13",-0.01498,0.3504,500,-0.04,"0.9659",0.05,-0.7035,0.6735
1,"b23",-0.2351,0.1755,500,-1.34,"0.1810",0.05,-0.5798,0.1097
1,"b33",0.1083,0.1042,500,1.04,"0.2991",0.05,-0.09643,0.3131
1,"b43",-0.698,0.1973,500,-3.54,"0.0004",0.05,-1.0857,-0.3103
1,"b53",0.3628,0.2997,500,1.21,"0.2267",0.05,-0.2261,0.9516
2,"b03",2.0453,0.4345,500,4.71,"<.0001",0.05,1.1916,2.899
2,"b13",0.1468,0.1797,500,0.82,"0.4144",0.05,-0.2063,0.4999
2,"b23",-0.092,0.1872,500,-0.49,"0.6233",0.05,-0.4598,0.2758
2,"b33",0.1631,0.1811,500,0.9,"0.3682",0.05,-0.1927,0.5189
2,"b43",-0.8472,0.233,500,-3.64,"0.0003",0.05,-1.305,-0.3895
2,"b53",0.1102,0.09372,500,1.18,"0.2404",0.05,-0.07397,0.2943
3,"b03",2.03,0.4671,500,4.35,"<.0001",0.05,1.1123,2.9478
3,"b13",0.04026,0.2321,500,0.17,"0.8624",0.05,-0.4158,0.4963
3,"b23",0.1442,0.165,500,0.87,"0.3826",0.05,-0.18,0.4683
3,"b33",0.1926,0.1328,500,1.45,"0.1477",0.05,-0.0684,0.4536
3,"b43",-0.9545,0.2768,500,-3.45,"0.0006",0.05,-1.4983,-0.4107
3,"b53",-0.1015,0.1881,500,-0.54,"0.5895",0.05,-0.471,0.2679
4,"b03",1.4103,0.6101,500,2.31,0.0212,0.05,0.2116,2.609
4,"b13",-0.02472,0.3737,500,-0.07,0.9473,0.05,-0.759,0.7096
4,"b23",-0.2289,0.2145,500,-1.07,0.2864,0.05,-0.6502,0.1925
4,"b33",-0.06739,0.1796,500,-0.38,0.7077,0.05,-0.4203,0.2856
4,"b43",-0.6265,0.3192,500,-1.96,0.0502,0.05,-1.2536,0.000596
4,"b53",0.5945,0.3388,500,1.75,0.08,0.05,-0.07124,1.2602
5,"b03",2.0076,0.6248,500,3.21,0.0014,0.05,0.7801,3.2351
5,"b13",-0.01282,0.5498,500,-0.02,0.9814,0.05,-1.0931,1.0674
5,"b23",-0.7852,0.5172,500,-1.52,0.1296,0.05,-1.8013,0.2309
5,"b33",-0.1946,0.3045,500,-0.64,0.523,0.05,-0.7928,0.4036
5,"b43",-0.6047,0.3287,500,-1.84,0.0664,0.05,-1.2505,0.04118
5,"b53",0.2876,0.2424,500,1.19,0.2361,0.05,-0.1887,0.7639
6,"b03",0.7244,0.699,500,1.04,0.3006,0.05,-0.649,2.0978
6,"b13",0.9638,0.8768,500,1.1,0.2722,0.05,-0.7589,2.6866
6,"b23",-0.04647,0.2409,500,-0.19,0.8471,0.05,-0.5198,0.4269
6,"b33",0.0708,0.276,500,0.26,0.7976,0.05,-0.4714,0.613
6,"b43",-0.4219,0.3486,500,-1.21,0.2267,0.05,-1.1069,0.263
6,"b53",0.5584,0.3036,500,1.84,0.0664,0.05,-0.03803,1.1548
7,"b03",1.8715,0.4926,500,3.8,2e-04,0.05,0.9038,2.8393
7,"b13",-0.05964,0.3309,500,-0.18,0.857,0.05,-0.7097,0.5904
7,"b23",-0.05763,0.1112,500,-0.52,0.6043,0.05,-0.276,0.1608
7,"b33",0.07303,0.156,500,0.47,0.6399,0.05,-0.2335,0.3795
7,"b43",-0.7019,0.2635,500,-2.66,0.008,0.05,-1.2196,-0.1841
7,"b53",0.26,0.2101,500,1.24,0.2164,0.05,-0.1527,0.6727
8,"b03",2.1895,0.5749,500,3.81,2e-04,0.05,1.06,3.319
8,"b13",-0.3526,0.5088,500,-0.69,0.4886,0.05,-1.3523,0.647
8,"b23",-0.05904,0.2315,500,-0.26,0.7988,0.05,-0.5139,0.3958
8,"b33",0.04681,0.2424,500,0.19,0.847,0.05,-0.4295,0.5231
8,"b43",-1.0615,0.407,500,-2.61,0.0094,0.05,-1.8612,-0.2618
8,"b53",0.3299,0.2269,500,1.45,0.1465,0.05,-0.1158,0.7757
9,"b03",1.8521,0.4988,500,3.71,2e-04,0.05,0.8722,2.832
9,"b13",0.3618,0.3211,500,1.13,0.2605,0.05,-0.2692,0.9927
9,"b23",-0.06965,0.1705,500,-0.41,0.6831,0.05,-0.4047,0.2654
9,"b33",0.002885,0.1743,500,0.02,0.9868,0.05,-0.3395,0.3453
9,"b43",-0.9901,0.3414,500,-2.9,0.0039,0.05,-1.6608,-0.3193
9,"b53",0.08822,0.153,500,0.58,0.5645,0.05,-0.2124,0.3889
10,"b03",1.1556,0.5335,500,2.17,0.0308,0.05,0.1074,2.2037
10,"b13",0.02626,0.3411,500,0.08,0.9387,0.05,-0.6438,0.6964
10,"b23",-0.05463,0.1621,500,-0.34,0.7362,0.05,-0.3731,0.2638
10,"b33",0.128,0.0861,500,1.49,0.1379,0.05,-0.04121,0.2971
10,"b43",-0.3697,0.1739,500,-2.13,0.0339,0.05,-0.7114,-0.02814
10,"b53",0.08539,0.07358,500,1.16,0.2464,0.05,-0.05918,0.2299
11,"b03",1.5115,0.6823,500,2.22,0.0272,0.05,0.171,2.8521
11,"b13",-0.3703,0.5336,500,-0.69,0.488,0.05,-1.4186,0.678
11,"b23",-0.1416,0.1468,500,-0.96,0.3353,0.05,-0.4301,0.1469
11,"b33",0.1003,0.2179,500,0.46,0.6457,0.05,-0.3279,0.5285
11,"b43",-0.4732,0.242,500,-1.96,0.0511,0.05,-0.9486,0.002299
11,"b53",0.06861,0.1297,500,0.53,0.597,0.05,-0.1862,0.3234
12,"b03",2.3985,0.5365,500,4.47,"<.0001",0.05,1.3444,3.4526
12,"b13",-0.04161,0.3919,500,-0.11,"0.9155",0.05,-0.8116,0.7284
12,"b23",-0.08274,0.09564,500,-0.87,"0.3874",0.05,-0.2706,0.1052
12,"b33",-0.08006,0.1142,500,-0.7,"0.4836",0.05,-0.3044,0.1443
12,"b43",-1.0759,0.4865,500,-2.21,"0.0275",0.05,-2.0318,-0.12
12,"b53",0.1151,0.1193,500,0.96,"0.3351",0.05,-0.1192,0.3494
13,"b03",1.3054,0.5289,500,2.47,0.0139,0.05,0.2663,2.3444
