"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
1,"b01",-2.9265,0.4428,500,-6.61,"<.0001",0.05,-3.7964,-2.0566,-0.00056
1,"b02",-1.2468,0.2341,500,-5.33,"<.0001",0.05,-1.7067,-0.7869,-7e-05
1,"b11",0.1437,0.4419,500,0.33,"0.7452",0.05,-0.7246,1.0119,-0.00039
1,"b12",-0.5263,0.2941,500,-1.79,"0.0741",0.05,-1.1042,0.05154,9.3e-05
1,"b21",0.4652,0.2031,500,2.29,"0.0224",0.05,0.06605,0.8643,-0.00225
1,"b22",0.04,0.1407,500,0.28,"0.7763",0.05,-0.2365,0.3165,-0.00024
1,"b31",-0.2024,0.1909,500,-1.06,"0.2896",0.05,-0.5774,0.1727,-0.00177
1,"b32",-0.07422,0.1285,500,-0.58,"0.5637",0.05,-0.3266,0.1782,0.00011
1,"b41",1.1962,0.2447,500,4.89,"<.0001",0.05,0.7155,1.6768,-0.00049
1,"b42",0.9772,0.1578,500,6.19,"<.0001",0.05,0.6672,1.2872,-0.00045
1,"b51",-0.7319,0.2238,500,-3.27,"0.0011",0.05,-1.1716,-0.2922,-0.00026
1,"b52",0.003311,0.1387,500,0.02,"0.9810",0.05,-0.2692,0.2758,0.000322
1,"phi1",-0.4961,0.3086,500,-1.61,"0.1085",0.05,-1.1024,0.1101,0.00024
1,"phi2",-0.107,0.4134,500,-0.26,"0.7959",0.05,-0.9192,0.7053,-4e-05
2,"b01",-2.3689,0.3457,500,-6.85,"<.0001",0.05,-3.0482,-1.6896,0.000389
2,"b02",-1.7956,0.2876,500,-6.24,"<.0001",0.05,-2.3606,-1.2306,-0.00069
2,"b11",-0.2384,0.3742,500,-0.64,"0.5244",0.05,-0.9735,0.4968,0.000533
2,"b12",-0.1806,0.3245,500,-0.56,"0.5782",0.05,-0.8182,0.4571,-0.00052
2,"b21",0.4175,0.1792,500,2.33,"0.0202",0.05,0.06544,0.7695,-0.00035
2,"b22",-0.04183,0.1667,500,-0.25,"0.8020",0.05,-0.3693,0.2857,0.000401
2,"b31",-0.01651,0.1883,500,-0.09,"0.9302",0.05,-0.3864,0.3534,0.000646
2,"b32",-0.3442,0.1636,500,-2.1,"0.0359",0.05,-0.6656,-0.02275,-0.00067
2,"b41",1.1669,0.2295,500,5.08,"<.0001",0.05,0.716,1.6178,0.000988
2,"b42",1.1627,0.1783,500,6.52,"<.0001",0.05,0.8124,1.5131,-0.00046
2,"b51",-0.1957,0.1858,500,-1.05,"0.2927",0.05,-0.5607,0.1693,0.000513
2,"b52",-0.1258,0.1646,500,-0.76,"0.4451",0.05,-0.4492,0.1976,0.000356
2,"phi1",-0.2666,0.2792,500,-0.95,"0.3401",0.05,-0.8151,0.2819,-0.00161
2,"phi2",-0.4611,0.3881,500,-1.19,"0.2354",0.05,-1.2236,0.3014,-0.00099
3,"b01",-2.4541,0.3396,500,-7.23,"<.0001",0.05,-3.1214,-1.7868,-4e-05
3,"b02",-2.0197,0.3034,500,-6.66,"<.0001",0.05,-2.6159,-1.4235,5e-05
3,"b11",0.06438,0.3404,500,0.19,"0.8501",0.05,-0.6045,0.7332,-3e-05
3,"b12",-0.06161,0.3293,500,-0.19,"0.8516",0.05,-0.7085,0.5853,3.7e-05
3,"b21",0.2058,0.1684,500,1.22,"0.2224",0.05,-0.1251,0.5367,-0.00033
3,"b22",-0.219,0.1609,500,-1.36,"0.1742",0.05,-0.5352,0.0972,-2e-04
3,"b31",-0.1136,0.1557,500,-0.73,"0.4659",0.05,-0.4195,0.1923,-0.00019
3,"b32",-0.2671,0.1523,500,-1.75,"0.0800",0.05,-0.5663,0.03209,0.000476
3,"b41",1.0174,0.2004,500,5.08,"<.0001",0.05,0.6237,1.4111,-1e-05
3,"b42",1.294,0.1773,500,7.3,"<.0001",0.05,0.9455,1.6424,6.1e-05
3,"b51",-0.4423,0.1724,500,-2.57,"0.0106",0.05,-0.7811,-0.1036,2.7e-05
3,"b52",0.1738,0.1577,500,1.1,"0.2712",0.05,-0.1361,0.4837,0.000134
3,"phi1",-0.046,0.2145,500,-0.21,"0.8303",0.05,-0.4675,0.3755,-8e-05
3,"phi2",-0.7015,0.3068,500,-2.29,"0.0226",0.05,-1.3042,-0.09876,4.6e-05
4,"b01",-2.6229,0.4295,500,-6.11,"<.0001",0.05,-3.4669,-1.779,-0.00043
4,"b02",-2.0443,0.2968,500,-6.89,"<.0001",0.05,-2.6276,-1.4611,-0.00031
4,"b11",0.00401,0.4435,500,0.01,"0.9928",0.05,-0.8673,0.8753,-0.00028
4,"b12",-0.05372,0.2988,500,-0.18,"0.8574",0.05,-0.6407,0.5333,-9e-05
4,"b21",0.2909,0.195,500,1.49,"0.1364",0.05,-0.09226,0.6741,0.000157
4,"b22",0.04117,0.1384,500,0.3,"0.7663",0.05,-0.2308,0.3132,-0.0014
4,"b31",-0.00383,0.2138,500,-0.02,"0.9857",0.05,-0.4239,0.4163,-0.00117
4,"b32",-0.1778,0.1492,500,-1.19,"0.2340",0.05,-0.4708,0.1153,-0.00026
4,"b41",1.3826,0.2564,500,5.39,"<.0001",0.05,0.8788,1.8865,0.000739
4,"b42",1.3567,0.1903,500,7.13,"<.0001",0.05,0.9828,1.7306,0.000452
4,"b51",-0.7879,0.2052,500,-3.84,"0.0001",0.05,-1.1912,-0.3847,0.000622
4,"b52",-0.1756,0.1661,500,-1.06,"0.2911",0.05,-0.5019,0.1508,0.001491
4,"phi1",-0.843,0.4648,500,-1.81,"0.0703",0.05,-1.7562,0.07021,0.000627
4,"phi2",0.3973,0.3671,500,1.08,"0.2797",0.05,-0.324,1.1186,0.001126
5,"b01",-2.7599,0.485,500,-5.69,"<.0001",0.05,-3.7129,-1.807,0.000455
5,"b02",-1.678,0.2424,500,-6.92,"<.0001",0.05,-2.1542,-1.2018,6.7e-05
5,"b11",-0.07582,0.5507,500,-0.14,"0.8906",0.05,-1.1578,1.0062,0.000207
5,"b12",-0.1981,0.2684,500,-0.74,"0.4608",0.05,-0.7254,0.3292,1.3e-05
5,"b21",0.6892,0.2295,500,3,"0.0028",0.05,0.2384,1.14,3.9e-05
5,"b22",-0.1644,0.1998,500,-0.82,"0.4111",0.05,-0.557,0.2282,-0.00028
5,"b31",0.02781,0.2439,500,0.11,"0.9092",0.05,-0.4513,0.507,-0.00026
5,"b32",-0.3617,0.1506,500,-2.4,"0.0167",0.05,-0.6575,-0.06586,-0.00018
5,"b41",1.0194,0.2703,500,3.77,"0.0002",0.05,0.4883,1.5505,0.000179
5,"b42",0.97,0.1449,500,6.69,"<.0001",0.05,0.6853,1.2547,0.000177
5,"b51",-0.2935,0.2896,500,-1.01,"0.3113",0.05,-0.8624,0.2754,5.445e-06
5,"b52",-0.03193,0.148,500,-0.22,"0.8293",0.05,-0.3227,0.2589,-0.00014
5,"phi1",-1.0299,0.6025,500,-1.71,"0.0880",0.05,-2.2136,0.1539,-1e-05
5,"phi2",0.4589,0.5574,500,0.82,"0.4107",0.05,-0.6362,1.5541,4.8e-05
6,"b01",-2.1771,0.3905,500,-5.57,"<.0001",0.05,-2.9444,-1.4098,0.000351
6,"b02",-1.8163,0.2468,500,-7.36,"<.0001",0.05,-2.3012,-1.3314,-2e-04
6,"b11",-0.8227,0.5067,500,-1.62,"0.1050",0.05,-1.8182,0.1727,0.000173
6,"b12",-0.1367,0.2823,500,-0.48,"0.6283",0.05,-0.6914,0.4179,-0.00036
6,"b21",0.08261,0.2022,500,0.41,"0.6830",0.05,-0.3146,0.4798,-1e-04
6,"b22",0.0767,0.1116,500,0.69,"0.4922",0.05,-0.1426,0.296,0.000507
6,"b31",-0.1993,0.2175,500,-0.92,"0.3601",0.05,-0.6266,0.2281,-0.00041
6,"b32",-0.2367,0.1218,500,-1.94,"0.0526",0.05,-0.4761,0.002652,-0.00069
6,"b41",1.145,0.2928,500,3.91,"0.0001",0.05,0.5698,1.7203,0.000933
6,"b42",1.3413,0.1664,500,8.06,"<.0001",0.05,1.0143,1.6683,-0.00148
6,"b51",-0.6452,0.2417,500,-2.67,"0.0078",0.05,-1.1201,-0.1703,-0.00099
6,"b52",-0.3544,0.1443,500,-2.46,"0.0144",0.05,-0.6379,-0.07092,-0.00057
6,"phi1",-1.3043,0.6119,500,-2.13,"0.0335",0.05,-2.5064,-0.1021,-0.00086
