"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
1,"b01",-2.3085,0.3282,500,-7.03,"<.0001",0.05,-2.9533,-1.6637,1e-04
1,"b02",-1.066,0.2182,500,-4.89,"<.0001",0.05,-1.4946,-0.6373,4e-05
1,"b11",0.08924,0.3499,500,0.26,"0.7988",0.05,-0.5983,0.7768,0.000451
1,"b12",-0.4887,0.2638,500,-1.85,"0.0646",0.05,-1.0071,0.02965,0.000109
1,"b21",0.3784,0.1625,500,2.33,"0.0202",0.05,0.05925,0.6976,0.000636
1,"b22",0.05207,0.1293,500,0.4,"0.6873",0.05,-0.202,0.3061,0.000414
1,"b31",-0.1726,0.155,500,-1.11,"0.2659",0.05,-0.4771,0.1319,0.000638
1,"b32",-0.08183,0.1245,500,-0.66,"0.5114",0.05,-0.3265,0.1628,2.7e-05
1,"b41",1.1081,0.1921,500,5.77,"<.0001",0.05,0.7306,1.4856,-6e-05
1,"b42",0.9894,0.1502,500,6.59,"<.0001",0.05,0.6943,1.2845,-0.00015
1,"b51",-0.5189,0.1598,500,-3.25,"0.0012",0.05,-0.8328,-0.205,-0.00013
1,"b52",-0.00882,0.1279,500,-0.07,"0.9450",0.05,-0.2601,0.2424,0.000906
2,"b01",-1.8775,0.2816,500,-6.67,"<.0001",0.05,-2.4308,-1.3242,-2e-05
2,"b02",-1.4608,0.2445,500,-5.98,"<.0001",0.05,-1.9411,-0.9805,1.7e-05
2,"b11",-0.2632,0.3278,500,-0.8,"0.4225",0.05,-0.9073,0.3809,5.584e-06
2,"b12",-0.2327,0.2846,500,-0.82,"0.4139",0.05,-0.7919,0.3264,3.1e-05
2,"b21",0.3984,0.1574,500,2.53,"0.0117",0.05,0.08909,0.7077,0.000183
2,"b22",0.05761,0.1345,500,0.43,"0.6685",0.05,-0.2066,0.3218,1.4e-05
2,"b31",-0.02248,0.1608,500,-0.14,"0.8889",0.05,-0.3384,0.2934,-5e-05
2,"b32",-0.2833,0.141,500,-2.01,"0.0450",0.05,-0.5603,-0.00634,-1.87e-06
2,"b41",1.1041,0.1738,500,6.35,"<.0001",0.05,0.7626,1.4455,-7e-05
2,"b42",1.1775,0.1575,500,7.47,"<.0001",0.05,0.868,1.487,5.3e-05
2,"b51",-0.1669,0.164,500,-1.02,"0.3092",0.05,-0.489,0.1553,-7e-05
2,"b52",-0.1212,0.1458,500,-0.83,"0.4061",0.05,-0.4077,0.1652,3.1e-05
3,"b01",-2.0714,0.2967,500,-6.98,"<.0001",0.05,-2.6544,-1.4884,0.000395
3,"b02",-1.6655,0.2564,500,-6.49,"<.0001",0.05,-2.1694,-1.1617,-0.00073
3,"b11",0.06938,0.3306,500,0.21,"0.8339",0.05,-0.5801,0.7189,0.000368
3,"b12",-0.09711,0.2865,500,-0.34,"0.7348",0.05,-0.66,0.4658,-0.00039
3,"b21",0.2463,0.1575,500,1.56,"0.1183",0.05,-0.063,0.5557,-0.00033
3,"b22",-0.1202,0.1392,500,-0.86,"0.3883",0.05,-0.3938,0.1534,3.2e-05
3,"b31",-0.08978,0.1511,500,-0.59,"0.5528",0.05,-0.3867,0.2072,0.000763
3,"b32",-0.1994,0.132,500,-1.51,"0.1316",0.05,-0.4588,0.05999,0.000706
3,"b41",0.874,0.1563,500,5.59,"<.0001",0.05,0.567,1.181,0.000284
3,"b42",1.2002,0.1537,500,7.81,"<.0001",0.05,0.8981,1.5022,-0.00087
3,"b51",-0.4458,0.1565,500,-2.85,"0.0046",0.05,-0.7533,-0.1384,-0.00076
3,"b52",0.067,0.1358,500,0.49,"0.6218",0.05,-0.1997,0.3337,-0.00022
4,"b01",-2.5011,0.3707,500,-6.75,"<.0001",0.05,-3.2295,-1.7726,8.588e-06
4,"b02",-1.8923,0.305,500,-6.2,"<.0001",0.05,-2.4915,-1.293,0.000148
4,"b11",0.1773,0.374,500,0.47,"0.6357",0.05,-0.5576,0.9122,-4e-05
4,"b12",-0.09176,0.328,500,-0.28,"0.7798",0.05,-0.7362,0.5527,1e-05
4,"b21",0.1962,0.1656,500,1.18,"0.2367",0.05,-0.1292,0.5217,-6e-05
4,"b22",0.03039,0.1493,500,0.2,"0.8388",0.05,-0.263,0.3238,-0.00032
4,"b31",0.01547,0.1736,500,0.09,"0.9290",0.05,-0.3255,0.3565,8.1e-05
4,"b32",-0.2306,0.1603,500,-1.44,"0.1509",0.05,-0.5455,0.08431,-0.00014
4,"b41",1.3753,0.213,500,6.46,"<.0001",0.05,0.9568,1.7938,8.6e-05
4,"b42",1.3157,0.1908,500,6.9,"<.0001",0.05,0.9408,1.6905,5.296e-06
4,"b51",-0.6053,0.17,500,-3.56,"0.0004",0.05,-0.9394,-0.2713,0.000179
4,"b52",-0.1004,0.1486,500,-0.68,"0.4996",0.05,-0.3923,0.1915,7.7e-05
