"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
1,"b01",-2.8181,0.4528,500,-6.22,"<.0001",0.05,-3.7076,-1.9285,-9e-05
1,"b02",-1.1817,0.2393,500,-4.94,"<.0001",0.05,-1.6519,-0.7116,-7e-05
1,"b03",2.2356,0.6542,500,3.42,"0.0007",0.05,0.9502,3.521,-6e-05
1,"b11",-0.0309,0.4713,500,-0.07,"0.9477",0.05,-0.9569,0.8951,2.9e-05
1,"b12",-0.6307,0.2977,500,-2.12,"0.0346",0.05,-1.2157,-0.04582,6.8e-05
1,"b13",0.54,0.6863,500,0.79,"0.4317",0.05,-0.8083,1.8884,6.4e-05
1,"b21",0.4286,0.217,500,1.97,"0.0488",0.05,0.00221,0.855,-0.00025
1,"b22",0.02419,0.1489,500,0.16,"0.8710",0.05,-0.2684,0.3167,5.8e-05
1,"b23",-0.1259,0.3239,500,-0.39,"0.6977",0.05,-0.7623,0.5105,0.000655
1,"b31",-0.2012,0.2034,500,-0.99,"0.3230",0.05,-0.6009,0.1984,1.8e-05
1,"b32",-0.07244,0.1423,500,-0.51,"0.6110",0.05,-0.3521,0.2072,0.000131
1,"b33",0.1037,0.3093,500,0.34,"0.7377",0.05,-0.5041,0.7114,0.000355
1,"b41",1.2401,0.2605,500,4.76,"<.0001",0.05,0.7283,1.7518,-3e-05
1,"b42",1.0156,0.1734,500,5.86,"<.0001",0.05,0.675,1.3562,6.37e-06
1,"b43",-0.8462,0.3874,500,-2.18,"0.0294",0.05,-1.6074,-0.08502,-0.00024
1,"b51",-0.7795,0.2129,500,-3.66,"0.0003",0.05,-1.1979,-0.3612,2.6e-05
1,"b52",-0.05466,0.1499,500,-0.36,"0.7154",0.05,-0.3491,0.2398,-0.00019
1,"b53",0.5865,0.3191,500,1.84,"0.0667",0.05,-0.04047,1.2134,-0.00023
2,"b01",-2.4235,0.3895,500,-6.22,"<.0001",0.05,-3.1888,-1.6582,-0.00032
2,"b02",-1.8432,0.2952,500,-6.24,"<.0001",0.05,-2.4232,-1.2633,-0.00156
2,"b03",2.6593,0.6,500,4.43,"<.0001",0.05,1.4804,3.8382,-0.00075
2,"b11",-0.08174,0.457,500,-0.18,"0.8581",0.05,-0.9797,0.8162,-0.00044
2,"b12",-0.1211,0.3388,500,-0.36,"0.7210",0.05,-0.7867,0.5446,0.001024
2,"b13",-0.2629,0.6704,500,-0.39,"0.6951",0.05,-1.58,1.0543,-0.00031
2,"b21",0.283,0.2157,500,1.31,"0.1901",0.05,-0.1408,0.7069,0.000577
2,"b22",-0.1067,0.1606,500,-0.66,"0.5068",0.05,-0.4222,0.2088,0.000295
2,"b23",0.2824,0.3197,500,0.88,"0.3775",0.05,-0.3457,0.9105,-0.00234
2,"b31",-0.0431,0.2194,500,-0.2,"0.8444",0.05,-0.4742,0.388,-0.00104
2,"b32",-0.3637,0.168,500,-2.17,"0.0309",0.05,-0.6938,-0.03366,-0.001
2,"b33",0.256,0.3302,500,0.78,"0.4386",0.05,-0.3928,0.9048,0.002196
2,"b41",0.9991,0.239,500,4.18,"<.0001",0.05,0.5294,1.4687,-0.00064
2,"b42",1.0973,0.1827,500,6.01,"<.0001",0.05,0.7383,1.4563,-0.00064
2,"b43",-0.4404,0.3497,500,-1.26,"0.2086",0.05,-1.1274,0.2467,0.000554
2,"b51",-0.2229,0.2228,500,-1,"0.3176",0.05,-0.6607,0.2149,-0.00212
2,"b52",-0.1337,0.1729,500,-0.77,"0.4397",0.05,-0.4735,0.206,-0.00117
2,"b53",0.1851,0.3337,500,0.55,"0.5795",0.05,-0.4706,0.8408,0.000303
