"parm","true","bias","rmse","coverage"
"b01",-2.2,-0.487,0.652,88.3
"b02",-1.5,-0.236,0.368,91.5
"b03",1.65,0.455,0.907,89.9
"b11",0,0.079,0.486,95.9
"b12",-0.25,-0.024,0.335,95.7
"b13",0.1,-0.076,0.717,96.2
"b21",0.2,0.031,0.228,94.2
"b22",0,-0.026,0.163,95.9
"b23",-0.05,0.001,0.372,93
"b31",-0.15,-0.011,0.206,95.5
"b32",-0.15,-0.004,0.16,96.1
"b33",0.1,-0.026,0.341,96.6
"b41",1.05,0.065,0.255,95.1
"b42",1.15,0.034,0.207,94.2
"b43",-0.7,0.083,0.43,93
"b51",-0.45,-0.032,0.212,96
"b52",-0.15,0.033,0.175,92.9
"b53",0.15,-0.033,0.352,95.8
